足が長いね
背が高いね
いい声してるね
顔にツヤがあるね
モテるでしょう？
カッコイイね
個性的ですね
姿勢がいいね
センスがいいね
清潔感があるね
たくましいね
存在感があるね
目ヂカラがあるよね
りりしいね
渋いね
リッチだね
足が細いね
いい時計してるね
オシャレだね
笑顔もいいね
エクボがかわいい
色っぽいね
髪が綺麗だね
瞳が綺麗だね
小顔だよね
スマートだね
セクシーですね
チャーミングだね
都会的だね
何を着ても似合うね
肌が綺麗ね
華があるよ
歯並びが綺麗ね
ひときわ目立ってるよ
魅力的だよ
まつ毛が長いね
やせたね？
指が綺麗だね
指が長いね
癒し系だね
大物だね
輝いてるね
なんだかホッとするよ
イキイキしてるね
憧れるよ
お茶目だね
キラキラしてるね
凛としてるね
元気いいね
爽やかだね
育ちがいいんだね
品があるね
雰囲気いいよ
包容力があるね
ポジティブだね
度胸があるね
チャレンジャーだね
気前がいいね
お前、いいヤツだね
意志が強いね
器が大きいね
エネルギッシュだね
思いやりがあるね
親分肌だよね
決断力があるね
豪快だね
心が広いね
情が深いね
情熱的だね
自立してるよね
芯が強いね
義理を大切にするね
責任感あるよね
積極的だね
人間味があるね
ノリがいいね
優しいね
勇気あるね
リーダーシップがあるね
ロマンチストだね
心が温かいね
心が綺麗だね
しっかりしてるね
一途だよね
おおらかですね
面倒見がいいね
感受性豊かだね
純粋だね
情緒豊かだね
繊細だね
悪口を言わないよね
ピュアだよね
気がきくね
協調性があるね
さすが！
美味しそうに食べるね
よく頑張るね
感謝してるわ
なかなかやるじゃん！
素晴らしい
タフですね
働き者ですね
行儀がいいね
君らしくていいよ
挨拶がいいね
完璧だよ
仕事が丁寧だね
仕事熱心だね
努力家だよね
真剣だね
頭の回転が速いね
勘が鋭いね
聞き上手だね
教養があるね
計算速いね
器用だね
ユーモアがあるね
面白い人だね
センスあるね
情報通ですね
何でも知ってるね
多趣味だね
頭がいいね
教えるのが上手いね
買い物上手だね
空気読めるね
手際がいいね
褒め上手だね
アイディアマンだね
頼りがいがあるよ
一流だね
腕がいいね
期待の星だよ
将来有望だよ
勘がいいね
観察力があるね
感心するよ
機転が利くね
出世するよ
人を見る目があるね
プロフェッショナルだね
